"X","Mechanism","Factor"
"CG1138","Trans-dominant","Stage"
"CG42559","Trans-dominant","Stage"
"CkIIbeta2","Trans-dominant","Stage"
"CG14246","Trans-dominant","Stage"
"CG30156","Trans-dominant","Stage"
"ACXE","Trans-dominant","Stage"
"CG11391","Trans-dominant","Stage"
"CG44271","Trans-dominant","Stage"
"CG6209","Trans-dominant","Stage"
"CG13084","Trans-dominant","Stage"
"CG32718","Trans-dominant","Stage"
"CG4892","Trans-dominant","Stage"
"aly","Trans-dominant","Stage"
"CG5059","Trans-dominant","Stage"
"NimC3","Trans-dominant","Stage"
"CG18335","Trans-dominant","Stage"
"CG6036","Trans-dominant","Stage"
"CG31798","Trans-dominant","Stage"
"CG15764","Trans-dominant","Stage"
"CG31525","Trans-dominant","Stage"
"CG32277","Trans-dominant","Stage"
"CG42540","Trans-dominant","Stage"
"CG14743","Trans-minor","Stage"
"Reg-2","Trans-dominant","Stage"
"Ca-alpha1D","Trans-dominant","Stage"
"CG11147","Trans-dominant","Stage"
"yellow-g","Trans-dominant","Stage"
"Prosbeta2R2","Trans-dominant","Stage"
"CG33710","Trans-dominant","Stage"
"CG31075","Trans-dominant","Stage"
"CG5050","Trans-dominant","Stage"
"bib","Trans-dominant","Stage"
"CG43331","Trans-dominant","Stage"
"CG32655","Trans-dominant","Stage"
"Drat","Trans-dominant","Stage"
"Vha16-5","Trans-dominant","Stage"
"CG3062","Trans-dominant","Stage"
"yip3","Trans-dominant","Stage"
"CG15212","Trans-dominant","Stage"
"CG30192","Trans-dominant","Stage"
"RFeSP","Trans-dominant","Stage"
"CG34199","Trans-dominant","Stage"
"CG7079","Trans-dominant","Stage"
"CG30371","Trans-dominant","Stage"
"CG15343","Trans-dominant","Stage"
"CG30268","Trans-dominant","Stage"
"CG8958","Trans-dominant","Stage"
"Acox57D-d","Trans-dominant","Stage"
"CG2650","Trans-dominant","Stage"
"CG13564","Trans-dominant","Stage"
"CG12464","Trans-dominant","Stage"
"CG31008","Trans-dominant","Stage"
"chinmo","Trans-dominant","Stage"
"CG42585","Trans-dominant","Stage"
"CG3611","Trans-dominant","Stage"
"CG13244","Trans-dominant","Stage"
"CG34175","Trans-dominant","Stage"
"Mur89F","Trans-dominant","Stage"
"gogo","Trans-dominant","Stage"
"CG11068","Trans-dominant","Stage"
"CG9896","Trans-dominant","Stage"
"CG11413","Trans-dominant","Stage"
"CG15579","Trans-dominant","Stage"
"CG11321","Trans-dominant","Stage"
"CG13891","Trans-dominant","Stage"
"Pk34A","Trans-dominant","Stage"
"CG12680","Trans-dominant","Stage"
"CG33128","Trans-dominant","Stage"
"CG31752","Trans-dominant","Stage"
"CG1208","Trans-dominant","Stage"
"CG9822","Trans-dominant","Stage"
"5-HT2A","Trans-dominant","Stage"
"CG15708","Trans-dominant","Stage"
"Tsp42A","Trans-dominant","Stage"
"Osi2","Trans-dominant","Stage"
"CG3880","Trans-dominant","Stage"
"CG13008","Trans-dominant","Stage"
"CG14011","Trans-dominant","Stage"
"CG14294","Trans-dominant","Stage"
"CG32643","Trans-dominant","Stage"
"CG34282","Trans-dominant","Stage"
"c(2)M","Trans-dominant","Stage"
"CG13962","Trans-dominant","Stage"
"shu","Trans-dominant","Stage"
"CG31189","Trans-dominant","Stage"
"CG13385","Trans-dominant","Stage"
"Ubc84D","Trans-dominant","Stage"
"CG33233","Trans-dominant","Stage"
"Eaat2","Trans-dominant","Stage"
"CG1971","Trans-dominant","Stage"
"CG7695","Trans-dominant","Stage"
"Sr-CIII","Trans-dominant","Stage"
"qless","Trans-dominant","Stage"
"CG13793","Trans-dominant","Stage"
"Cda5","Trans-dominant","Stage"
"CG15034","Trans-dominant","Stage"
"CG15876","Trans-dominant","Stage"
"NaCP60E","Trans-dominant","Stage"
"Cpr97Eb","Trans-dominant","Stage"
"CG31797","Trans-dominant","Stage"
"CG31784","Trans-dominant","Stage"
"CG15395","Trans-dominant","Stage"
"CG31960","Trans-dominant","Stage"
"CG32647","Trans-dominant","Stage"
"LManVI","Trans-dominant","Stage"
"CG14787","Trans-dominant","Stage"
"CG30275","Trans-dominant","Stage"
"CG33462","Trans-dominant","Stage"
"CG5621","Trans-dominant","Stage"
"CG30177","Trans-dominant","Stage"
"CG30369","Trans-dominant","Stage"
"en","Trans-dominant","Stage"
"CG14339","Trans-dominant","Stage"
"Spn31A","Trans-dominant","Stage"
"CG15399","Trans-dominant","Stage"
"glob3","Trans-dominant","Stage"
"CG13713","Trans-dominant","Stage"
"ttm2","Trans-dominant","Stage"
"CG6675","Trans-dominant","Stage"
"CG17944","Trans-dominant","Stage"
"CG9445","Trans-dominant","Stage"
"CG8918","Trans-dominant","Stage"
"Orco","Trans-dominant","Stage"
"Mur2B","Trans-dominant","Stage"
"CG2750","Trans-dominant","Stage"
"CG10550","Trans-dominant","Stage"
"RluA-1","Trans-dominant","Stage"
"CG13334","Trans-dominant","Stage"
"ndl","Trans-dominant","Stage"
"Unc-89","Trans-dominant","Stage"
"l(1)G0334","Trans-dominant","Stage"
"CG17196","Trans-dominant","Stage"
"CG14537","Trans-dominant","Stage"
"CG13300","Trans-dominant","Stage"
"CG33125","Trans-dominant","Stage"
"CG9550","Trans-dominant","Stage"
"xmas-1","Trans-dominant","Stage"
"CG12992","Trans-dominant","Stage"
"CG15625","Trans-dominant","Stage"
"CG6403","Trans-dominant","Stage"
"rdgB","Trans-dominant","Stage"
"CG14071","Trans-dominant","Stage"
"CG14565","Trans-dominant","Stage"
"Sclp","Trans-dominant","Stage"
"ec","Trans-dominant","Stage"
"Prosbeta2R1","Trans-dominant","Stage"
"CG43117","Trans-dominant","Stage"
"CG14013","Trans-dominant","Stage"
"CG43183","Trans-dominant","Stage"
"CG31644","Trans-dominant","Stage"
"Muc12Ea","Trans-dominant","Stage"
"Dic4","Trans-dominant","Stage"
"CG18131","Trans-dominant","Stage"
"CG11815","Trans-dominant","Stage"
"Pu","Trans-dominant","Stage"
"CG12477","Trans-dominant","Stage"
"CycJ","Trans-dominant","Stage"
"CG13984","Trans-dominant","Stage"
"CG9101","Trans-dominant","Stage"
"SERCA","Trans-dominant","Stage"
"vnd","Trans-dominant","Stage"
"CG15570","Trans-dominant","Stage"
"CG12209","Trans-dominant","Stage"
"CG9498","Trans-dominant","Stage"
"CG11333","Trans-dominant","Stage"
"CG4716","Trans-dominant","Stage"
"CG6602","Trans-dominant","Stage"
"CG8197","Trans-dominant","Stage"
"nht","Trans-dominant","Stage"
"CG30487","Trans-dominant","Stage"
"CG9850","Trans-dominant","Stage"
"hgo","Trans-dominant","Stage"
"SmydA-3","Trans-dominant","Stage"
"antdh","Trans-dominant","Stage"
"CG30048","Trans-dominant","Stage"
"CG5565","Trans-dominant","Stage"
"Sam-S","Trans-dominant","Stage"
"yellow-d2","Trans-dominant","Stage"
"CG30222","Trans-dominant","Stage"
"CG4480","Trans-dominant","Stage"
"fd96Ca","Trans-dominant","Stage"
"Acsl","Trans-dominant","Stage"
"CG12698","Trans-dominant","Stage"
"CG16772","Trans-dominant","Stage"
"spo","Trans-dominant","Stage"
"Npc2g","Trans-dominant","Stage"
"CG33278","Trans-dominant","Stage"
"CG42851","Trans-dominant","Stage"
"CG12376","Trans-dominant","Stage"
"CG15185","Trans-dominant","Stage"
"CG32720","Trans-dominant","Stage"
"CG9235","Trans-dominant","Stage"
"p-cup","Trans-dominant","Stage"
"CG30385","Trans-dominant","Stage"
"CG14605","Trans-dominant","Stage"
"CG10096","Trans-dominant","Stage"
"CG42809","Trans-dominant","Stage"
"CG15919","Trans-dominant","Stage"
"CG14187","Trans-dominant","Stage"
"CG7794","Trans-dominant","Stage"
"CG2104","Trans-dominant","Stage"
"CG14759","Trans-dominant","Stage"
"CG14937","Trans-dominant","Stage"
"CG6614","Trans-dominant","Stage"
"CG9072","Trans-dominant","Stage"
"CG14990","Trans-dominant","Stage"
"CG10934","Trans-dominant","Stage"
"cpx","Trans-dominant","Stage"
"tio","Trans-dominant","Stage"
"CG34181","Trans-dominant","Stage"
"boil","Trans-dominant","Stage"
"CG32388","Trans-dominant","Stage"
"Cpr78Ca","Trans-dominant","Stage"
"CG12637","Trans-dominant","Stage"
"CG34021","Trans-dominant","Stage"
"tyn","Trans-dominant","Stage"
"CG32650","Trans-dominant","Stage"
"CG31816","Trans-dominant","Stage"
"ab","Trans-dominant","Stage"
"Cpr65Ec","Trans-dominant","Stage"
"CG31717","Trans-dominant","Stage"
"CG6503","Trans-dominant","Stage"
"sna","Trans-dominant","Stage"
"ACC","Trans-dominant","Stage"
"robl22E","Trans-dominant","Stage"
"CG7716","Trans-dominant","Stage"
"CG15548","Trans-dominant","Stage"
"CG31851","Trans-dominant","Stage"
"CG4009","Trans-dominant","Stage"
"Elba2","Trans-dominant","Stage"
"CG15369","Trans-dominant","Stage"
"CG1428","Trans-dominant","Stage"
"Cyt-c1","Trans-dominant","Stage"
"CG14757","Trans-dominant","Stage"
"CG13185","Trans-dominant","Stage"
"CG43066","Trans-dominant","Stage"
"CG10332","Trans-dominant","Stage"
"CG2209","Trans-dominant","Stage"
"Scr","Trans-dominant","Stage"
"CG13869","Trans-dominant","Stage"
"Tsp66A","Trans-dominant","Stage"
"Atg8b","Trans-dominant","Stage"
"unc80","Trans-dominant","Stage"
"CG18869","Trans-dominant","Stage"
"SoxN","Trans-dominant","Stage"
"tim","Trans-dominant","Stage"
"srl","Trans-dominant","Stage"
"E(spl)m2-BFM","Trans-dominant","Stage"
"Glut3","Trans-dominant","Stage"
"CG9826","Trans-dominant","Stage"
"ord","Trans-dominant","Stage"
"CG31808","Trans-dominant","Stage"
"JYalpha","Trans-dominant","Stage"
"CG31274","Trans-dominant","Stage"
"CG16781","Trans-dominant","Stage"
"hll","Trans-dominant","Stage"
"CG11269","Trans-dominant","Stage"
"CG14516","Trans-dominant","Stage"
"PH4alphaMP","Trans-dominant","Stage"
"Ctr1C","Trans-dominant","Stage"
"CG17386","Trans-dominant","Stage"
"CG11298","Trans-dominant","Stage"
"RpS28-like","Trans-dominant","Stage"
"CG2694","Trans-dominant","Stage"
"CG13526","Trans-dominant","Stage"
"CG31287","Trans-dominant","Stage"
"CG5327","Trans-dominant","Stage"
"Dll","Trans-dominant","Stage"
"CG1273","Trans-dominant","Stage"
"CG32271","Trans-dominant","Stage"
"CG16853","Trans-dominant","Stage"
"CG15145","Trans-dominant","Stage"
"CG15719","Trans-dominant","Stage"
"CG5987","Trans-dominant","Stage"
"COX6AL","Trans-dominant","Stage"
"Cyp312a1","Trans-dominant","Stage"
"SmydA-2","Trans-dominant","Stage"
"sca","Trans-dominant","Stage"
"CG32461","Trans-dominant","Stage"
"CG34264","Trans-dominant","Stage"
"Lcp65Ad","Trans-dominant","Stage"
"CG18304","Trans-dominant","Stage"
"Cyp310a1","Trans-dominant","Stage"
"CG17140","Trans-dominant","Stage"
"slam","Trans-dominant","Stage"
"DNApol-eta","Trans-dominant","Stage"
"CG15530","Trans-dominant","Stage"
"CG10307","Trans-dominant","Stage"
"CG5071","Trans-dominant","Stage"
"CG31789","Trans-dominant","Stage"
"CG1441","Trans-dominant","Stage"
"CG2574","Trans-dominant","Stage"
"CG3679","Trans-dominant","Stage"
"Drsl6","Trans-dominant","Stage"
"CG3355","Trans-dominant","Stage"
"Drsl1","Trans-dominant","Stage"
"CG15571","Trans-dominant","Stage"
"Cpr100A","Trans-dominant","Stage"
"CG1607","Trans-dominant","Stage"
"Dh31-R","Trans-dominant","Stage"
"TfIIA-S-2","Trans-dominant","Stage"
"CG13539","Trans-dominant","Stage"
"mas","Trans-dominant","Stage"
"ft","Trans-dominant","Stage"
"CG31928","Trans-dominant","Stage"
"CG9485","Trans-dominant","Stage"
"CG13540","Trans-dominant","Stage"
"Imp","Trans-dominant","Stage"
"CG34457","Trans-dominant","Stage"
"CG7298","Trans-dominant","Stage"
"muc","Trans-dominant","Stage"
"CG15167","Trans-dominant","Stage"
"CG13113","Trans-dominant","Stage"
"CG9780","Trans-dominant","Stage"
"CG4377","Trans-dominant","Stage"
"Oaz","Trans-minor","Stage"
"CG43138","Trans-dominant","Stage"
"CG30472","Trans-dominant","Stage"
"Arpc1","Trans-dominant","Stage"
"CG32195","Trans-dominant","Stage"
"CG13501","Trans-dominant","Stage"
"CG32625","Trans-dominant","Stage"
"CG4386","Trans-dominant","Stage"
"CG11381","Trans-dominant","Stage"
"CG6893","Trans-dominant","Stage"
"hale","Trans-dominant","Stage"
"ND-B8","Trans-dominant","Stage"
"CG1648","Trans-dominant","Stage"
"CG10298","Trans-dominant","Stage"
"CG11841","Trans-dominant","Stage"
"inv","Trans-dominant","Stage"
"Lcp65Ac","Trans-dominant","Stage"
"CG30099","Trans-dominant","Stage"
"CG18568","Trans-dominant","Stage"
"dac","Trans-dominant","Stage"
"olf186-M","Trans-dominant","Stage"
"CG18605","Trans-dominant","Stage"
"CG4363","Trans-dominant","Stage"
"CG42592","Trans-dominant","Stage"
"Rpt6R","Trans-dominant","Stage"
"CG16995","Trans-dominant","Stage"
"Toll-7","Trans-dominant","Stage"
"CG31093","Trans-dominant","Stage"
"CG3117","Trans-dominant","Stage"
"CG14070","Trans-dominant","Stage"
"CG15873","Trans-dominant","Stage"
"CG17929","Trans-dominant","Stage"
"mbm","Trans-dominant","Stage"
"corolla","Trans-dominant","Stage"
"Np","Trans-dominant","Stage"
"sut3","Trans-dominant","Stage"
"eIF4E-7","Trans-dominant","Stage"
"CG15721","Trans-dominant","Stage"
"Nop60B","Trans-dominant","Stage"
"CG5111","Trans-dominant","Stage"
"Ror","Trans-dominant","Stage"
"CG15533","Trans-dominant","Stage"
"CG1387","Trans-dominant","Stage"
"CG18132","Trans-dominant","Stage"
"St4","Trans-dominant","Stage"
"danr","Trans-dominant","Stage"
"CG15136","Trans-dominant","Stage"
"muskelin","Trans-dominant","Stage"
"CG32259","Trans-dominant","Stage"
"Fcp3C","Trans-dominant","Stage"
"Jhedup","Trans-dominant","Stage"
"CG12078","Trans-dominant","Stage"
"CG9988","Trans-dominant","Stage"
"CG30447","Trans-dominant","Stage"
"CR10032","Trans-dominant","Stage"
"CG32645","Trans-dominant","Stage"
"CG9664","Trans-dominant","Stage"
"CG7214","Trans-dominant","Stage"
"PpD5","Trans-dominant","Stage"
"CG34287","Trans-dominant","Stage"
"CG12880","Trans-dominant","Stage"
"CG34337","Trans-dominant","Stage"
"CG31661","Trans-dominant","Stage"
"CG15258","Trans-dominant","Stage"
"Scp2","Trans-dominant","Stage"
"CG12164","Trans-dominant","Stage"
"CG18666","Trans-dominant","Stage"
"CG15196","Trans-dominant","Stage"
"CG8840","Trans-dominant","Stage"
"CG12674","Trans-dominant","Stage"
"CG3528","Trans-dominant","Stage"
"NimA","Trans-dominant","Stage"
"CG33252","Trans-dominant","Stage"
"COX5BL","Trans-dominant","Stage"
"CG32945","Trans-dominant","Stage"
"alpha-Man-Ic","Trans-dominant","Stage"
"CG12438","Trans-dominant","Stage"
"krimp","Trans-dominant","Stage"
"thw","Trans-dominant","Stage"
"CG15337","Trans-dominant","Stage"
"VhaM9.7-d","Trans-dominant","Stage"
"CG10459","Trans-dominant","Stage"
"Cpr65Aw","Trans-dominant","Stage"
"CG12866","Trans-dominant","Stage"
"tam","Trans-dominant","Stage"
"hydra","Trans-dominant","Stage"
"Cpr47Eb","Trans-dominant","Stage"
"CG14921","Trans-dominant","Stage"
"CG13171","Trans-dominant","Stage"
"CG17572","Trans-dominant","Stage"
"CG13144","Trans-dominant","Stage"
"CG32986","Trans-dominant","Stage"
"CG5122","Trans-dominant","Stage"
"Cpr11B","Trans-dominant","Stage"
"robo2","Trans-dominant","Stage"
"cup","Trans-dominant","Stage"
"CG31542","Trans-dominant","Stage"
"lambdaTry","Trans-dominant","Stage"
"sob","Trans-dominant","Stage"
"CG14502","Trans-dominant","Stage"
"CG1690","Trans-dominant","Stage"
"CG13127","Trans-dominant","Stage"
"CG15142","Trans-dominant","Stage"
"GstE4","Trans-dominant","Stage"
"cher","Trans-dominant","Stage"
"CG15820","Trans-dominant","Stage"
"CG42784","Trans-dominant","Stage"
"CG10131","Trans-dominant","Stage"
"CG32240","Trans-dominant","Stage"
"Cda4","Trans-dominant","Stage"
"bowl","Trans-dominant","Stage"
"CG4970","Trans-dominant","Stage"
"stnB","Trans-dominant","Stage"
"CG34210","Trans-dominant","Stage"
"CG4017","Trans-dominant","Stage"
"Menl-1","Trans-dominant","Stage"
"CG14930","Trans-dominant","Stage"
"Neurochondrin","Trans-dominant","Stage"
"CG16825","Trans-dominant","Stage"
"CG15526","Trans-dominant","Stage"
"Mos","Trans-dominant","Stage"
"CG33140","Trans-dominant","Stage"
"Gs1l","Trans-dominant","Stage"
"CG31091","Trans-dominant","Stage"
"CG13423","Trans-dominant","Stage"
"Cpr31A","Trans-dominant","Stage"
"CG15766","Trans-dominant","Stage"
"CG14036","Trans-dominant","Stage"
"CG5756","Trans-dominant","Stage"
"twz","Trans-dominant","Stage"
"esg","Trans-dominant","Stage"
"CG43935","Trans-dominant","Stage"
"me31B","Trans-dominant","Stage"
"CG17145","Trans-dominant","Stage"
"CG30325","Trans-dominant","Stage"
"CG14635","Trans-dominant","Stage"
"CG30083","Trans-dominant","Stage"
"CG30196","Trans-dominant","Stage"
"Irk3","Trans-dominant","Stage"
"CG12684","Trans-dominant","Stage"
"CG11876","Trans-dominant","Stage"
"CG30065","Trans-dominant","Stage"
"Eglp3","Trans-dominant","Stage"
"bgm","Trans-dominant","Stage"
"Lerp","Trans-dominant","Stage"
"CG4630","Trans-dominant","Stage"
"blw","Trans-dominant","Stage"
"CG13741","Trans-dominant","Stage"
"CG12729","Trans-dominant","Stage"
"CG3588","Trans-dominant","Stage"
"CG15283","Trans-dominant","Stage"
"CG15905","Trans-dominant","Stage"
"klhl10","Trans-dominant","Stage"
"CG15412","Trans-dominant","Stage"
"sro","Trans-dominant","Stage"
"DopEcR","Trans-dominant","Stage"
"CG15093","Trans-dominant","Stage"
"CG32232","Trans-dominant","Stage"
"CG31115","Trans-dominant","Stage"
"obst-I","Trans-dominant","Stage"
"pwn","Trans-dominant","Stage"
"CG12498","Trans-dominant","Stage"
"ple","Trans-dominant","Stage"
"CG13077","Trans-dominant","Stage"
"CG10226","Trans-dominant","Stage"
"CG31213","Trans-minor","Stage"
"Pkc53E","Trans-dominant","Stage"
"CG8584","Trans-dominant","Stage"
"CG12693","Trans-dominant","Stage"
"CG32987","Trans-dominant","Stage"
"CG4415","Trans-dominant","Stage"
"Gas8","Trans-dominant","Stage"
"CG32301","Trans-dominant","Stage"
"CG15580","Trans-dominant","Stage"
"Atpalpha","Trans-dominant","Stage"
"CG14257","Trans-dominant","Stage"
"CG13870","Trans-dominant","Stage"
"CG4496","Trans-dominant","Stage"
"CR46300","Trans-dominant","Stage"
"U3-55K","Trans-dominant","Stage"
"Pph13","Trans-dominant","Stage"
"CG43328","Trans-dominant","Stage"
"CG43691","Trans-minor","Stage"
"alpha-Est6","Trans-dominant","Stage"
"CG31776","Trans-dominant","Stage"
"CG3292","Trans-dominant","Stage"
"CG14017","Trans-dominant","Stage"
"CG17744","Trans-dominant","Stage"
"Mmp2","Trans-dominant","Stage"
"Mdh2","Trans-dominant","Stage"
"CG14292","Trans-dominant","Stage"
"CG18540","Trans-dominant","Stage"
"CG4324","Trans-dominant","Stage"
"CG15529","Trans-dominant","Stage"
"CG32319","Trans-dominant","Stage"
"CG32806","Trans-dominant","Stage"
"CG3544","Trans-dominant","Stage"
"CG12502","Trans-dominant","Stage"
"CG34312","Trans-dominant","Stage"
"Cbp53E","Trans-dominant","Stage"
"CG14077","Trans-dominant","Stage"
"CG12661","Trans-dominant","Stage"
"CG7653","Trans-dominant","Stage"
"CG8299","Trans-dominant","Stage"
"CG17475","Trans-dominant","Stage"
"CG16741","Trans-dominant","Stage"
"CG30416","Trans-dominant","Stage"
"CG42658","Trans-dominant","Stage"
"ND-51","Trans-dominant","Stage"
"qin","Trans-dominant","Stage"
"CG33998","Trans-dominant","Stage"
"CG14354","Trans-dominant","Stage"
"CG43058","Trans-dominant","Stage"
"tej","Trans-dominant","Stage"
"CG42855","Trans-dominant","Stage"
"RpL22-like","Trans-dominant","Stage"
"CG13280","Trans-dominant","Stage"
"r-l","Trans-dominant","Stage"
"CG31924","Trans-dominant","Stage"
"CG1315","Trans-dominant","Stage"
"CG14932","Trans-dominant","Stage"
"kat-60L1","Trans-dominant","Stage"
"CG12995","Trans-minor","Stage"
"Cpr65Ay","Trans-dominant","Stage"
"CG5554","Trans-dominant","Stage"
"HLH3B","Trans-dominant","Stage"
"CG32727","Trans-dominant","Stage"
"CG15278","Trans-dominant","Stage"
"CG32219","Trans-dominant","Stage"
"CG12009","Trans-dominant","Stage"
"CG30103","Trans-dominant","Stage"
"CG13492","Trans-dominant","Stage"
"CG10924","Trans-dominant","Stage"
"CG5662","Trans-dominant","Stage"
"mTTF","Trans-dominant","Stage"
"CG14651","Trans-minor","Stage"
"hbs","Trans-dominant","Stage"
"spoon","Trans-dominant","Stage"
"Cpr","Trans-dominant","Stage"
"ken","Trans-dominant","Stage"
"CG13010","Trans-dominant","Stage"
"CG2680","Trans-dominant","Stage"
"CG8545","Trans-dominant","Stage"
"lectin-37Da","Trans-dominant","Stage"
"CG43293","Trans-dominant","Stage"
"CG32263","Trans-dominant","Stage"
"CG1636","Trans-dominant","Stage"
"otk2","Trans-dominant","Stage"
"CG33017","Trans-dominant","Stage"
"CG43112","Trans-dominant","Stage"
"qvr","Trans-dominant","Stage"
"CG30265","Trans-dominant","Stage"
"CG10211","Trans-dominant","Stage"
"CG31265","Trans-dominant","Stage"
"CG18538","Trans-dominant","Stage"
"ds","Trans-dominant","Stage"
"CG10801","Trans-dominant","Stage"
"Vha16-4","Trans-dominant","Stage"
"CG17636","Trans-dominant","Stage"
"CG15572","Trans-dominant","Stage"
"PH4alphaSG1","Trans-dominant","Stage"
"CR43100","Trans-dominant","Stage"
"CG14838","Trans-dominant","Stage"
"AANATL2","Trans-dominant","Stage"
"Fie","Trans-dominant","Stage"
"CG14315","Trans-dominant","Stage"
"CG15829","Trans-dominant","Stage"
"CG10931","Trans-dominant","Stage"
"CG34040","Trans-dominant","Stage"
"Uch-L5R","Trans-dominant","Stage"
"CG32679","Trans-minor","Stage"
"CG11369","Trans-dominant","Stage"
"CG42675","Trans-dominant","Stage"
"ms(3)76Ba","Trans-minor","Stage"
"CG17646","Trans-dominant","Stage"
"CG3589","Trans-dominant","Stage"
"Lcp65Aa","Trans-dominant","Stage"
"esn","Trans-dominant","Stage"
"CG10933","Trans-dominant","Stage"
"Inx3","Trans-dominant","Stage"
"tobi","Trans-dominant","Stage"
"comr","Trans-dominant","Stage"
"ATPsyngamma","Trans-dominant","Stage"
"Eh","Trans-dominant","Stage"
"igl","Trans-dominant","Stage"
"CG31028","Trans-dominant","Stage"
"CG10761","Trans-dominant","Stage"
"ckd","Trans-dominant","Stage"
"CG32591","Trans-dominant","Stage"
"CG18190","Trans-dominant","Stage"
"CG12926","Trans-dominant","Stage"
"Faa","Trans-dominant","Stage"
"CG11379","Trans-dominant","Stage"
"NimC4","Trans-dominant","Stage"
"Amph","Trans-dominant","Stage"
"Cpr76Bd","Trans-dominant","Stage"
"CG10702","Trans-dominant","Stage"
"rdgA","Trans-dominant","Stage"
"CG34054","Trans-dominant","Stage"
"CG8813","Trans-dominant","Stage"
"CG5171","Trans-dominant","Stage"
"Teh2","Trans-dominant","Stage"
"sced","Trans-dominant","Stage"
"CG2187","Trans-dominant","Stage"
"CG6067","Trans-dominant","Stage"
"CG1889","Trans-dominant","Stage"
"CG14253","Trans-dominant","Stage"
"CDC45L","Trans-dominant","Stage"
"CG4661","Trans-dominant","Stage"
"Fer3HCH","Trans-dominant","Stage"
"CG30087","Trans-dominant","Stage"
"CG15143","Trans-dominant","Stage"
"Ppa","Trans-dominant","Stage"
"CG30088","Trans-dominant","Stage"
"CG30349","Trans-dominant","Stage"
"CG1077","Trans-dominant","Stage"
"Tektin-C","Trans-dominant","Stage"
"CG30002","Trans-dominant","Stage"
"CG14814","Trans-dominant","Stage"
"slow","Trans-dominant","Stage"
"Spn55B","Trans-dominant","Stage"
"CG13021","Trans-dominant","Stage"
"Mmp1","Trans-dominant","Stage"
"CG5599","Trans-dominant","Stage"
"CG17717","Trans-dominant","Stage"
"CG31106","Trans-dominant","Stage"
"Cyp6a13","Trans-dominant","Stage"
"CG32432","Trans-dominant","Stage"
"stnA","Trans-dominant","Stage"
"rdgBbeta","Trans-dominant","Stage"
"CG4752","Trans-dominant","Stage"
"fon","Trans-dominant","Stage"
"tos","Trans-dominant","Stage"
"CG9899","Trans-dominant","Stage"
"Coop","Trans-dominant","Stage"
"CG15375","Trans-dominant","Stage"
"nkd","Trans-dominant","Stage"
"CG17005","Trans-dominant","Stage"
"HHEX","Trans-minor","Stage"
"CG11459","Trans-dominant","Stage"
"wuc","Trans-dominant","Stage"
"CG12836","Trans-minor","Stage"
"CG17601","Trans-dominant","Stage"
"CG32572","Trans-dominant","Stage"
"CG42685","Trans-minor","Stage"
"mtRNApol","Trans-dominant","Stage"
"fw","Trans-dominant","Stage"
"CG2652","Trans-dominant","Stage"
"mRpS7","Trans-dominant","Stage"
"CG32686","Trans-dominant","Stage"
"CG31191","Trans-minor","Stage"
"Gabat","Trans-dominant","Stage"
"CG8768","Trans-dominant","Stage"
"Adck","Trans-dominant","Stage"
"CG15067","Trans-dominant","Stage"
"CG17801","Trans-dominant","Stage"
"eag","Trans-minor","Stage"
"Sema2b","Trans-dominant","Stage"
"conv","Trans-dominant","Stage"
"CG1092","Trans-dominant","Stage"
"CG12439","Trans-dominant","Stage"
"CG30377","Trans-dominant","Stage"
"CG6012","Trans-dominant","Stage"
"PPYR1","Trans-dominant","Stage"
"CG10486","Trans-minor","Stage"
"tup","Trans-dominant","Stage"
"CG31689","Trans-dominant","Stage"
"CG31288","Trans-dominant","Stage"
"uif","Trans-dominant","Stage"
"CHKov2","Trans-dominant","Stage"
"CG14835","Trans-dominant","Stage"
"Mppe","Trans-dominant","Stage"
"stan","Trans-dominant","Stage"
"brv1","Trans-minor","Stage"
"CG12288","Trans-dominant","Stage"
"CG31635","Trans-dominant","Stage"
"CG10280","Trans-dominant","Stage"
"SK","Trans-dominant","Stage"
"CG14062","Trans-dominant","Stage"
"CG30334","Trans-dominant","Stage"
"CG30110","Trans-dominant","Stage"
"cas","Trans-minor","Stage"
"l(2)efl","Trans-dominant","Stage"
"CG44405","Trans-minor","Stage"
"SmydA-4","Trans-dominant","Stage"
"CG44044","Trans-dominant","Stage"
"cysu","Trans-dominant","Stage"
"CG9192","Trans-dominant","Stage"
"CG13884","Trans-dominant","Stage"
"CG15429","Trans-dominant","Stage"
"CG13871","Trans-dominant","Stage"
"CG5646","Trans-dominant","Stage"
"Art2","Trans-dominant","Stage"
"CG11889","Trans-dominant","Stage"
"CG13722","Trans-dominant","Stage"
"ATPsynC","Trans-dominant","Stage"
"cona","Trans-dominant","Stage"
"CG16836","Trans-dominant","Stage"
"CG13155","Trans-dominant","Stage"
"CG14931","Trans-dominant","Stage"
"inaF-C","Trans-dominant","Stage"
"CG15676","Trans-dominant","Stage"
"Apoltp","Trans-dominant","Stage"
"TwdlX","Trans-dominant","Stage"
"CG18155","Trans-dominant","Stage"
"CG13403","Trans-dominant","Stage"
"Cpr65Av","Trans-dominant","Stage"
"CG9782","Trans-dominant","Stage"
"CG31606","Trans-dominant","Stage"
"COX4","Trans-dominant","Stage"
"Ccp84Af","Trans-minor","Stage"
"Gs1","Trans-dominant","Stage"
"cort","Trans-dominant","Stage"
"CG9522","Trans-dominant","Stage"
"Cyp28a5","Trans-dominant","Stage"
"CG32228","Trans-dominant","Stage"
"Gasz","Trans-dominant","Stage"
