"X","Mechanism","Factor"
"CG31226","Trans-dominant","Stage"
"CG18449","Trans-dominant","Stage"
"CG9861","Trans-dominant","Stage"
"CG15200","Trans-dominant","Stage"
"CG11327","Trans-dominant","Stage"
"CG7311","Trans-dominant","Stage"
"CG8501","Trans-dominant","Stage"
"mil","Trans-dominant","Stage"
"CG9863","Trans-dominant","Stage"
"CG42835","Trans-dominant","Stage"
"CG31088","Trans-dominant","Stage"
"CG8993","Trans-dominant","Stage"
"lox2","Trans-dominant","Stage"
"CG11796","Trans-dominant","Stage"
"CG34254","Trans-dominant","Stage"
"Gpo-1","Trans-dominant","Stage"
"obst-J","Trans-dominant","Stage"
"Tim17b2","Trans-dominant","Stage"
"CG7203","Trans-dominant","Stage"
"Menl-2","Trans-dominant","Stage"
"CG10317","Trans-dominant","Stage"
"CG17189","Trans-dominant","Stage"
"Drep2","Trans-dominant","Stage"
"Est-P","Trans-dominant","Stage"
"CG4691","Trans-dominant","Stage"
"CG1288","Trans-dominant","Stage"
"inaC","Trans-dominant","Stage"
"CG8850","Trans-dominant","Stage"
"Hex-t1","Trans-dominant","Stage"
"CG30429","Trans-dominant","Stage"
"Vha68-3","Trans-dominant","Stage"
"Cpr56F","Trans-dominant","Stage"
"Cpr49Ac","Trans-dominant","Stage"
"CG15260","Trans-dominant","Stage"
"CG9130","Trans-dominant","Stage"
"CG32459","Trans-dominant","Stage"
"CG18609","Trans-dominant","Stage"
"CG11400","Trans-dominant","Stage"
"CG10834","Trans-dominant","Stage"
"CG7309","Trans-dominant","Stage"
"S-Lap5","Trans-dominant","Stage"
"CG9173","Trans-dominant","Stage"
"Tektin-A","Trans-dominant","Stage"
"Prosbeta5R2","Trans-dominant","Stage"
"CG11145","Trans-dominant","Stage"
"Tsp42Ek","Trans-dominant","Stage"
"CG9129","Trans-dominant","Stage"
"CG12914","Trans-dominant","Stage"
"CG13168","Trans-dominant","Stage"
"CG14269","Trans-dominant","Stage"
"c-cup","Trans-dominant","Stage"
"CG32846","Trans-dominant","Stage"
"BicC","Trans-dominant","Stage"
"CG12620","Trans-dominant","Stage"
"CNT1","Trans-dominant","Stage"
"CG14569","Trans-dominant","Stage"
"Klp59D","Trans-dominant","Stage"
"CG13299","Trans-dominant","Stage"
"nerfin-1","Trans-dominant","Stage"
"CG7131","Trans-dominant","Stage"
"ttm3","Trans-dominant","Stage"
"CG10862","Trans-dominant","Stage"
"CG31933","Trans-dominant","Stage"
"CG8746","Trans-dominant","Stage"
"Est-6","Trans-dominant","Stage"
"Cp36","Trans-dominant","Stage"
"CG12998","Trans-dominant","Stage"
"CG31735","Trans-dominant","Stage"
"CG34193","Trans-dominant","Stage"
"CG3687","Trans-dominant","Stage"
"CG3494","Trans-dominant","Stage"
"CG34296","Trans-dominant","Stage"
"CG31882","Trans-dominant","Stage"
"swa","Trans-dominant","Stage"
"alphaKap4","Trans-dominant","Stage"
"CG11635","Trans-dominant","Stage"
"CG14309","Trans-dominant","Stage"
"Cpr47Ef","Trans-dominant","Stage"
"CG31820","Trans-dominant","Stage"
"Acam","Trans-dominant","Stage"
"CG11018","Trans-dominant","Stage"
"OS9","Trans-dominant","Stage"
"CG13544","Trans-dominant","Stage"
"reb","Trans-dominant","Stage"
"CG42820","Trans-dominant","Stage"
"CG13243","Trans-dominant","Stage"
"CG3565","Trans-dominant","Stage"
"CG34170","Trans-dominant","Stage"
"CG33136","Trans-dominant","Stage"
"Hasp","Trans-dominant","Stage"
"nxf4","Trans-dominant","Stage"
"CG12857","Trans-dominant","Stage"
"CG10750","Trans-dominant","Stage"
"w-cup","Trans-dominant","Stage"
"E(spl)m4-BFM","Trans-dominant","Stage"
"chp","Trans-dominant","Stage"
"CG12309","Trans-dominant","Stage"
"CG40485","Trans-dominant","Stage"
"CG15357","Trans-dominant","Stage"
"CG13989","Trans-dominant","Stage"
"CG14297","Trans-dominant","Stage"
"CG3492","Trans-dominant","Stage"
"CG31949","Trans-dominant","Stage"
"CG12511","Trans-dominant","Stage"
"tsh","Trans-dominant","Stage"
"CG18063","Trans-dominant","Stage"
"CG31473","Trans-dominant","Stage"
"Ser","Trans-dominant","Stage"
"CG5217","Trans-dominant","Stage"
"Prosalpha6T","Trans-dominant","Stage"
"CG17098","Trans-dominant","Stage"
"Cpr49Ab","Trans-dominant","Stage"
"CG31907","Trans-dominant","Stage"
"CG32396","Trans-dominant","Stage"
"CG6380","Trans-dominant","Stage"
"CG16716","Trans-dominant","Stage"
"CG12020","Trans-dominant","Stage"
"Prosalpha3T","Trans-dominant","Stage"
"CG7164","Trans-dominant","Stage"
"CG31802","Trans-dominant","Stage"
"CG12448","Trans-dominant","Stage"
"CG12481","Trans-dominant","Stage"
"TTLL3B","Trans-dominant","Stage"
"frma","Trans-dominant","Stage"
"Spn100A","Trans-dominant","Stage"
"ImpE3","Trans-dominant","Stage"
"CG17349","Trans-dominant","Stage"
"CG4701","Trans-dominant","Stage"
"CG7094","Trans-dominant","Stage"
"CG31007","Trans-dominant","Stage"
"ATPsynGL","Trans-dominant","Stage"
"CG4286","Trans-dominant","Stage"
"CG17030","Trans-dominant","Stage"
"E(spl)m8-HLH","Trans-dominant","Stage"
"CG6967","Trans-dominant","Stage"
"CG8838","Trans-dominant","Stage"
"rtp","Trans-dominant","Stage"
"hmw","Trans-dominant","Stage"
"CG16894","Trans-dominant","Stage"
"CG15711","Trans-dominant","Stage"
"CG4438","Trans-dominant","Stage"
"CG18302","Trans-dominant","Stage"
"Kr","Trans-dominant","Stage"
"CG13747","Trans-dominant","Stage"
"Acp32CD","Trans-dominant","Stage"
"CG30270","Trans-dominant","Stage"
"CG31262","Trans-dominant","Stage"
"CG12934","Trans-dominant","Stage"
"fest","Trans-dominant","Stage"
"Grx-1","Trans-dominant","Stage"
"CG5103","Trans-dominant","Stage"
"CG32819","Trans-dominant","Stage"
"CG9970","Trans-dominant","Stage"
"CG2113","Trans-dominant","Stage"
"CG5561","Trans-dominant","Stage"
"l(3)mbn","Trans-dominant","Stage"
"CG18223","Trans-dominant","Stage"
"CG31231","Trans-dominant","Stage"
"CG42393","Trans-dominant","Stage"
"CG11929","Trans-dominant","Stage"
"CG12983","Trans-dominant","Stage"
"bdl","Trans-dominant","Stage"
"CG3215","Trans-dominant","Stage"
"CG14609","Trans-dominant","Stage"
"CG9016","Trans-dominant","Stage"
"CG3345","Trans-dominant","Stage"
"gudu","Trans-dominant","Stage"
"CG31819","Trans-dominant","Stage"
"Arp53D","Trans-dominant","Stage"
"CG30054","Trans-dominant","Stage"
"stops","Trans-dominant","Stage"
"CG31055","Trans-dominant","Stage"
"CG30376","Trans-dominant","Stage"
"CG2964","Trans-dominant","Stage"
"CG32302","Trans-dominant","Stage"
"CG14763","Trans-dominant","Stage"
"pon","Trans-dominant","Stage"
"nab","Trans-dominant","Stage"
"CG4151","Trans-dominant","Stage"
"CG15128","Trans-dominant","Stage"
"CG4714","Trans-dominant","Stage"
"fs(1)N","Trans-dominant","Stage"
"CG4161","Trans-dominant","Stage"
"CG9314","Trans-dominant","Stage"
"CG43400","Trans-dominant","Stage"
"CG6933","Trans-dominant","Stage"
"CG6441","Trans-dominant","Stage"
"sa","Trans-dominant","Stage"
"CG14631","Trans-dominant","Stage"
"Dic61B","Trans-dominant","Stage"
"CG33934","Trans-dominant","Stage"
"obst-F","Trans-dominant","Stage"
"CG11106","Trans-dominant","Stage"
"CG1791","Trans-dominant","Stage"
"Mur29B","Trans-dominant","Stage"
"ms(3)76Cc","Trans-dominant","Stage"
"CG7295","Trans-dominant","Stage"
"CG3092","Trans-dominant","Stage"
"CG10510","Trans-dominant","Stage"
"PpD6","Trans-dominant","Stage"
"CG5432","Trans-dominant","Stage"
"CG2663","Trans-dominant","Stage"
"CG17580","Trans-dominant","Stage"
"aub","Trans-dominant","Stage"
"CG7251","Trans-dominant","Stage"
"CG5367","Trans-dominant","Stage"
"eys","Trans-dominant","Stage"
"CG2528","Trans-dominant","Stage"
"CG4631","Trans-dominant","Stage"
"CG31286","Trans-dominant","Stage"
"inaF-D","Trans-dominant","Stage"
"CG10680","Trans-dominant","Stage"
"CG15578","Trans-dominant","Stage"
"CG33308","Trans-dominant","Stage"
"CG30432","Trans-dominant","Stage"
"CG42597","Trans-dominant","Stage"
"CG14644","Trans-dominant","Stage"
"CG30355","Trans-dominant","Stage"
"CG30008","Trans-dominant","Stage"
"CG13991","Trans-dominant","Stage"
"Pka-C2","Trans-dominant","Stage"
"Prtl99C","Trans-dominant","Stage"
"to","Trans-dominant","Stage"
"CG12493","Trans-dominant","Stage"
"CG3557","Trans-dominant","Stage"
"CG16837","Trans-dominant","Stage"
"CG31910","Trans-dominant","Stage"
"Rtnl2","Trans-dominant","Stage"
"CG13442","Trans-dominant","Stage"
"CG15661","Trans-dominant","Stage"
"gom","Trans-dominant","Stage"
"CG10919","Trans-dominant","Stage"
"CG16848","Trans-dominant","Stage"
"Porin2","Trans-dominant","Stage"
"CG14974","Trans-dominant","Stage"
"CG14258","Trans-dominant","Stage"
"retn","Trans-dominant","Stage"
"sc","Trans-dominant","Stage"
"CG15498","Trans-dominant","Stage"
"CG12126","Trans-dominant","Stage"
"CG32298","Trans-dominant","Stage"
"insb","Trans-dominant","Stage"
"CG14929","Trans-dominant","Stage"
"fln","Trans-dominant","Stage"
"ND-49L","Trans-dominant","Stage"
"CG12479","Trans-dominant","Stage"
"CG12782","Trans-dominant","Stage"
"CG17387","Trans-dominant","Stage"
"CG3323","Trans-dominant","Stage"
"CG18446","Trans-dominant","Stage"
"Ucp4B","Trans-dominant","Stage"
"GluRIIB","Trans-dominant","Stage"
"CG41106","Trans-dominant","Stage"
"Gad1","Trans-dominant","Stage"
"CG31773","Trans-dominant","Stage"
"CG15471","Trans-dominant","Stage"
"Ucp4C","Trans-dominant","Stage"
"nyo","Trans-dominant","Stage"
"CG12426","Trans-dominant","Stage"
"CG14658","Trans-dominant","Stage"
"CG31010","Trans-dominant","Stage"
"Dic3","Trans-dominant","Stage"
"CG15756","Trans-dominant","Stage"
"Acp1","Trans-dominant","Stage"
"CG13700","Trans-dominant","Stage"
"CG14488","Trans-dominant","Stage"
"CG2854","Trans-dominant","Stage"
"CG42369","Trans-dominant","Stage"
"CG1979","Trans-dominant","Stage"
"CG17739","Trans-dominant","Stage"
"CG32488","Trans-dominant","Stage"
"CG10839","Trans-dominant","Stage"
"CG14183","Trans-dominant","Stage"
"CG8349","Trans-dominant","Stage"
"Crtp","Trans-dominant","Stage"
"CG18404","Trans-dominant","Stage"
"spaw","Trans-dominant","Stage"
"Actn3","Trans-dominant","Stage"
"SPR","Trans-dominant","Stage"
"CG30101","Trans-minor","Stage"
"regucalcin","Trans-dominant","Stage"
"CG9875","Trans-dominant","Stage"
"Tsp33B","Trans-dominant","Stage"
"bcd","Trans-dominant","Stage"
"Ork1","Trans-dominant","Stage"
"CG32983","Trans-dominant","Stage"
"CG14598","Trans-dominant","Stage"
"CG32762","Trans-dominant","Stage"
"CG7829","Trans-dominant","Stage"
"CG15631","Trans-dominant","Stage"
"NimC2","Trans-dominant","Stage"
"CG15925","Trans-dominant","Stage"
"CG18371","Trans-dominant","Stage"
"CG5084","Trans-dominant","Stage"
"LS2","Trans-dominant","Stage"
"CG17344","Trans-dominant","Stage"
"Vha100-3","Trans-dominant","Stage"
"CG17669","Trans-dominant","Stage"
"CG2577","Trans-dominant","Stage"
"CG12069","Trans-dominant","Stage"
"CG14546","Trans-dominant","Stage"
"CG15734","Trans-dominant","Stage"
"CG6484","Trans-dominant","Stage"
"Cp7Fb","Trans-dominant","Stage"
"PIP82","Trans-dominant","Stage"
"CG3121","Trans-dominant","Stage"
"glob2","Trans-dominant","Stage"
"CG4991","Trans-dominant","Stage"
"PpN58A","Trans-dominant","Stage"
"ND-51L2","Trans-dominant","Stage"
"FucTD","Trans-dominant","Stage"
"CG11630","Trans-dominant","Stage"
"Vha36-2","Trans-dominant","Stage"
"Cp7Fc","Trans-dominant","Stage"
"CG31803","Trans-dominant","Stage"
"Rcd7","Trans-dominant","Stage"
"CG31275","Trans-dominant","Stage"
"CG13436","Trans-dominant","Stage"
"Fbp2","Trans-dominant","Stage"
"CG6059","Trans-dominant","Stage"
"tbrd-2","Trans-dominant","Stage"
"Tsp42Ep","Trans-dominant","Stage"
"CG9582","Trans-dominant","Stage"
"CG1287","Trans-dominant","Stage"
"CG14316","Trans-dominant","Stage"
"ms(2)34Fe","Trans-dominant","Stage"
"Cyp305a1","Trans-dominant","Stage"
"hoe1","Trans-dominant","Stage"
"CG3085","Trans-dominant","Stage"
"Cp7Fa","Trans-dominant","Stage"
"Indy-2","Trans-dominant","Stage"
"CG7024","Trans-dominant","Stage"
"CG7140","Trans-dominant","Stage"
"CG6435","Trans-dominant","Stage"
"Send2","Trans-dominant","Stage"
"CG9313","Trans-dominant","Stage"
"CG30412","Trans-dominant","Stage"
"CG11373","Trans-dominant","Stage"
"tj","Trans-dominant","Stage"
"CG6996","Trans-dominant","Stage"
