idx1,idx2,distance,sample_count
4.0,9.0,2.297180262817574,2.0
0.0,15.0,2.6951984032031717,2.0
6.0,19.0,2.7931149937460025,2.0
16.0,22.0,2.813787576948862,3.0
2.0,5.0,2.9358811696790337,2.0
14.0,24.0,3.02123507061652,3.0
8.0,21.0,3.051077145248196,3.0
13.0,23.0,3.052249990282772,4.0
25.0,27.0,3.125006050219676,7.0
20.0,28.0,3.1400090862343206,9.0
26.0,29.0,3.1965303091655,12.0
18.0,30.0,3.415548594328116,13.0
1.0,31.0,3.54491968621464,14.0
3.0,32.0,3.633180562673426,15.0
11.0,33.0,3.6761742707231635,16.0
12.0,34.0,3.681082948965133,17.0
10.0,35.0,3.698344856939872,18.0
7.0,36.0,3.985563485368672,19.0
17.0,37.0,4.001362552143554,20.0
