idx1,idx2,distance,sample_count
5.0,14.0,1.3699580297640486,2.0
8.0,9.0,1.537351761629053,2.0
6.0,19.0,1.5438459365532746,2.0
4.0,21.0,1.577544730140577,3.0
15.0,23.0,1.642240599706345,4.0
16.0,22.0,1.6920024104807785,3.0
24.0,25.0,1.7431223163717418,7.0
2.0,12.0,1.7533173267548285,2.0
18.0,26.0,1.8754337948825717,8.0
27.0,28.0,1.9247307414996877,10.0
3.0,29.0,1.9820779218382185,11.0
0.0,30.0,1.9822512070327925,12.0
20.0,31.0,2.0125715053540927,14.0
10.0,13.0,2.0657777289341435,2.0
7.0,32.0,2.1735732977829834,15.0
11.0,33.0,2.1881668706629505,3.0
17.0,34.0,2.2242232387386274,16.0
1.0,35.0,2.2881551638020956,4.0
36.0,37.0,2.4994343634847604,20.0
