"Gene","Mechanism","Factor"
"CG31226","Cis x Trans","Stage"
"CG18449","Cis x Trans","Stage"
"CG9861","Cis x Trans","Stage"
"CG15200","Cis x Trans","Stage"
"CG11327","Cis x Trans","Stage"
"CG7311","Cis x Trans","Stage"
"CG8501","Cis x Trans","Stage"
"mil","Cis x Trans","Stage"
"CG9863","Cis x Trans","Stage"
"CG42835","Cis x Trans","Stage"
"CG31088","Cis x Trans","Stage"
"CG8993","Cis x Trans","Stage"
"lox2","Cis x Trans","Stage"
"CG11796","Cis x Trans","Stage"
"CG34254","Cis x Trans","Stage"
"Gpo-1","Cis x Trans","Stage"
"obst-J","Cis x Trans","Stage"
"Tim17b2","Cis x Trans","Stage"
"CG7203","Cis x Trans","Stage"
"Menl-2","Cis x Trans","Stage"
"CG10317","Cis x Trans","Stage"
"CG17189","Cis x Trans","Stage"
"Drep2","Cis x Trans","Stage"
"Est-P","Cis x Trans","Stage"
"CG4691","Cis x Trans","Stage"
"CG1288","Cis x Trans","Stage"
"inaC","Cis x Trans","Stage"
"CG8850","Cis x Trans","Stage"
"Hex-t1","Cis x Trans","Stage"
"CG30429","Cis x Trans","Stage"
"Vha68-3","Cis x Trans","Stage"
"Cpr56F","Cis x Trans","Stage"
"Cpr49Ac","Cis x Trans","Stage"
"CG15260","Cis x Trans","Stage"
"CG9130","Cis x Trans","Stage"
"CG32459","Cis x Trans","Stage"
"CG18609","Cis x Trans","Stage"
"CG11400","Cis x Trans","Stage"
"CG10834","Cis x Trans","Stage"
"CG7309","Cis x Trans","Stage"
"S-Lap5","Cis x Trans","Stage"
"CG9173","Cis x Trans","Stage"
"Tektin-A","Cis x Trans","Stage"
"Prosbeta5R2","Cis x Trans","Stage"
"CG11145","Cis x Trans","Stage"
"Tsp42Ek","Cis x Trans","Stage"
"CG9129","Cis x Trans","Stage"
"CG12914","Cis x Trans","Stage"
"CG13168","Cis x Trans","Stage"
"CG14269","Cis x Trans","Stage"
"c-cup","Cis x Trans","Stage"
"CG32846","Cis x Trans","Stage"
"BicC","Cis x Trans","Stage"
"CG12620","Cis x Trans","Stage"
"CNT1","Cis x Trans","Stage"
"CG14569","Cis x Trans","Stage"
"Klp59D","Cis x Trans","Stage"
"CG13299","Cis x Trans","Stage"
"nerfin-1","Cis x Trans","Stage"
"CG7131","Cis x Trans","Stage"
"ttm3","Cis x Trans","Stage"
"CG10862","Cis x Trans","Stage"
"CG31933","Cis x Trans","Stage"
"CG8746","Cis x Trans","Stage"
"Est-6","Cis x Trans","Stage"
"Cp36","Cis x Trans","Stage"
"CG12998","Cis x Trans","Stage"
"CG31735","Cis x Trans","Stage"
"CG34193","Cis x Trans","Stage"
"CG3687","Cis x Trans","Stage"
"CG3494","Cis x Trans","Stage"
"CG34296","Cis x Trans","Stage"
"CG31882","Cis x Trans","Stage"
"swa","Cis x Trans","Stage"
"alphaKap4","Cis x Trans","Stage"
"CG11635","Cis x Trans","Stage"
"CG14309","Cis x Trans","Stage"
"Cpr47Ef","Cis x Trans","Stage"
"CG31820","Cis x Trans","Stage"
"Acam","Cis x Trans","Stage"
"CG11018","Cis x Trans","Stage"
"OS9","Cis x Trans","Stage"
"CG13544","Cis x Trans","Stage"
"reb","Cis x Trans","Stage"
"CG42820","Cis x Trans","Stage"
"CG13243","Cis x Trans","Stage"
"CG3565","Cis x Trans","Stage"
"CG34170","Cis x Trans","Stage"
"CG33136","Cis x Trans","Stage"
"Hasp","Cis x Trans","Stage"
"nxf4","Cis x Trans","Stage"
"CG12857","Cis x Trans","Stage"
"CG10750","Cis x Trans","Stage"
"w-cup","Cis x Trans","Stage"
"E(spl)m4-BFM","Cis x Trans","Stage"
"chp","Cis x Trans","Stage"
"CG12309","Cis x Trans","Stage"
"CG40485","Cis x Trans","Stage"
"CG15357","Cis x Trans","Stage"
"CG13989","Cis x Trans","Stage"
"CG14297","Cis x Trans","Stage"
"CG3492","Cis x Trans","Stage"
"CG31949","Cis x Trans","Stage"
"CG12511","Cis x Trans","Stage"
"tsh","Cis x Trans","Stage"
"CG18063","Cis x Trans","Stage"
"CG31473","Cis x Trans","Stage"
"Ser","Cis x Trans","Stage"
"CG5217","Cis x Trans","Stage"
"Prosalpha6T","Cis x Trans","Stage"
"CG17098","Cis x Trans","Stage"
"Cpr49Ab","Cis x Trans","Stage"
"CG31907","Cis x Trans","Stage"
"CG32396","Cis x Trans","Stage"
"CG6380","Cis x Trans","Stage"
"CG16716","Cis x Trans","Stage"
"CG12020","Cis x Trans","Stage"
"Prosalpha3T","Cis x Trans","Stage"
"CG7164","Cis x Trans","Stage"
"CG31802","Cis x Trans","Stage"
"CG12448","Cis x Trans","Stage"
"CG12481","Cis x Trans","Stage"
"TTLL3B","Cis x Trans","Stage"
"frma","Cis x Trans","Stage"
"Spn100A","Cis x Trans","Stage"
"ImpE3","Cis x Trans","Stage"
"CG17349","Cis x Trans","Stage"
"CG4701","Cis x Trans","Stage"
"CG7094","Cis x Trans","Stage"
"CG31007","Cis x Trans","Stage"
"ATPsynGL","Cis x Trans","Stage"
"CG4286","Cis x Trans","Stage"
"CG17030","Cis x Trans","Stage"
"E(spl)m8-HLH","Cis x Trans","Stage"
"CG6967","Cis x Trans","Stage"
"CG8838","Cis x Trans","Stage"
"rtp","Cis x Trans","Stage"
"hmw","Cis x Trans","Stage"
"CG16894","Cis x Trans","Stage"
"CG15711","Cis x Trans","Stage"
"CG4438","Cis x Trans","Stage"
"CG18302","Cis x Trans","Stage"
"Kr","Cis x Trans","Stage"
"CG13747","Cis x Trans","Stage"
"Acp32CD","Cis x Trans","Stage"
"CG30270","Cis x Trans","Stage"
"CG31262","Cis x Trans","Stage"
"CG12934","Cis x Trans","Stage"
"fest","Cis x Trans","Stage"
"Grx-1","Cis x Trans","Stage"
"CG5103","Cis x Trans","Stage"
"CG32819","Cis x Trans","Stage"
"CG9970","Cis x Trans","Stage"
"CG2113","Cis x Trans","Stage"
"CG5561","Cis x Trans","Stage"
"l(3)mbn","Cis x Trans","Stage"
"CG18223","Cis x Trans","Stage"
"CG31231","Cis x Trans","Stage"
"CG42393","Cis x Trans","Stage"
"CG11929","Cis x Trans","Stage"
"CG12983","Cis x Trans","Stage"
"bdl","Cis x Trans","Stage"
"CG3215","Cis x Trans","Stage"
"CG14609","Cis x Trans","Stage"
"CG9016","Cis x Trans","Stage"
"CG3345","Cis x Trans","Stage"
"gudu","Cis x Trans","Stage"
"CG31819","Cis x Trans","Stage"
"Arp53D","Cis x Trans","Stage"
"CG30054","Cis x Trans","Stage"
"stops","Cis x Trans","Stage"
"CG31055","Cis x Trans","Stage"
"CG30376","Cis x Trans","Stage"
"CG2964","Cis x Trans","Stage"
"CG32302","Cis x Trans","Stage"
"CG14763","Cis x Trans","Stage"
"pon","Cis x Trans","Stage"
"nab","Cis x Trans","Stage"
"CG4151","Cis x Trans","Stage"
"CG15128","Cis x Trans","Stage"
"CG4714","Cis x Trans","Stage"
"fs(1)N","Cis x Trans","Stage"
"CG4161","Cis x Trans","Stage"
"CG9314","Cis x Trans","Stage"
"CG43400","Cis x Trans","Stage"
"CG6933","Cis x Trans","Stage"
"CG6441","Cis x Trans","Stage"
"sa","Cis x Trans","Stage"
"CG14631","Cis x Trans","Stage"
"Dic61B","Cis x Trans","Stage"
"CG33934","Cis x Trans","Stage"
"obst-F","Cis x Trans","Stage"
"CG11106","Cis x Trans","Stage"
"CG1791","Cis x Trans","Stage"
"Mur29B","Cis x Trans","Stage"
"ms(3)76Cc","Cis x Trans","Stage"
"CG7295","Cis x Trans","Stage"
"CG3092","Cis x Trans","Stage"
"CG10510","Cis x Trans","Stage"
"PpD6","Cis x Trans","Stage"
"CG5432","Cis x Trans","Stage"
"CG2663","Cis x Trans","Stage"
"CG17580","Cis x Trans","Stage"
"aub","Cis x Trans","Stage"
"CG7251","Cis x Trans","Stage"
"CG5367","Cis x Trans","Stage"
"eys","Cis x Trans","Stage"
"CG2528","Cis x Trans","Stage"
"CG4631","Cis x Trans","Stage"
