"Gene","Mechanism","Factor"
"CG1138","Cis x Trans","Stage"
"CG42559","Cis x Trans","Stage"
"CkIIbeta2","Cis x Trans","Stage"
"CG14246","Cis x Trans","Stage"
"CG30156","Cis x Trans","Stage"
"ACXE","Cis x Trans","Stage"
"CG11391","Cis x Trans","Stage"
"CG44271","Cis x Trans","Stage"
"CG6209","Cis x Trans","Stage"
"CG13084","Cis x Trans","Stage"
"CG32718","Cis x Trans","Stage"
"CG4892","Cis x Trans","Stage"
"aly","Cis x Trans","Stage"
"CG5059","Cis x Trans","Stage"
"NimC3","Cis x Trans","Stage"
"CG18335","Cis x Trans","Stage"
"CG6036","Cis x Trans","Stage"
"CG31798","Cis x Trans","Stage"
"CG15764","Cis x Trans","Stage"
"CG31525","Cis x Trans","Stage"
"CG32277","Cis x Trans","Stage"
"CG42540","Cis x Trans","Stage"
"CG14743","Cis x Trans","Stage"
"Reg-2","Cis x Trans","Stage"
"Ca-alpha1D","Cis x Trans","Stage"
"CG11147","Cis x Trans","Stage"
"yellow-g","Cis x Trans","Stage"
"Prosbeta2R2","Cis x Trans","Stage"
"CG33710","Cis x Trans","Stage"
"CG31075","Cis x Trans","Stage"
"CG5050","Cis x Trans","Stage"
"bib","Cis x Trans","Stage"
"CG43331","Cis x Trans","Stage"
"CG32655","Cis x Trans","Stage"
"Drat","Cis x Trans","Stage"
"Vha16-5","Cis x Trans","Stage"
"CG3062","Cis x Trans","Stage"
"yip3","Cis x Trans","Stage"
"CG15212","Cis x Trans","Stage"
"CG30192","Cis x Trans","Stage"
"RFeSP","Cis x Trans","Stage"
"CG34199","Cis x Trans","Stage"
"CG7079","Cis x Trans","Stage"
"CG30371","Cis x Trans","Stage"
"CG15343","Cis x Trans","Stage"
"CG30268","Cis x Trans","Stage"
"CG8958","Cis x Trans","Stage"
"Acox57D-d","Cis x Trans","Stage"
"CG2650","Cis x Trans","Stage"
"CG13564","Cis x Trans","Stage"
"CG12464","Cis x Trans","Stage"
"CG31008","Cis x Trans","Stage"
"chinmo","Cis x Trans","Stage"
"CG42585","Cis x Trans","Stage"
"CG3611","Cis x Trans","Stage"
"CG13244","Cis x Trans","Stage"
"CG34175","Cis x Trans","Stage"
"Mur89F","Cis x Trans","Stage"
"gogo","Cis x Trans","Stage"
"CG11068","Cis x Trans","Stage"
"CG9896","Cis x Trans","Stage"
"CG11413","Cis x Trans","Stage"
"CG15579","Cis x Trans","Stage"
"CG11321","Cis x Trans","Stage"
"CG13891","Cis x Trans","Stage"
"Pk34A","Cis x Trans","Stage"
"CG12680","Cis x Trans","Stage"
"CG33128","Cis x Trans","Stage"
"CG31752","Cis x Trans","Stage"
"CG1208","Cis x Trans","Stage"
"CG9822","Cis x Trans","Stage"
"5-HT2A","Cis x Trans","Stage"
"CG15708","Cis x Trans","Stage"
"Tsp42A","Cis x Trans","Stage"
"Osi2","Cis x Trans","Stage"
"CG3880","Cis x Trans","Stage"
"CG13008","Cis x Trans","Stage"
"CG14011","Cis x Trans","Stage"
"CG14294","Cis x Trans","Stage"
"CG32643","Cis x Trans","Stage"
"CG34282","Cis x Trans","Stage"
"c(2)M","Cis x Trans","Stage"
"CG13962","Cis x Trans","Stage"
"shu","Cis x Trans","Stage"
"CG31189","Cis x Trans","Stage"
"CG13385","Cis x Trans","Stage"
"Ubc84D","Cis x Trans","Stage"
"CG33233","Cis x Trans","Stage"
"Eaat2","Cis x Trans","Stage"
"CG1971","Cis x Trans","Stage"
"CG7695","Cis x Trans","Stage"
"Sr-CIII","Cis x Trans","Stage"
"qless","Cis x Trans","Stage"
"CG13793","Cis x Trans","Stage"
"Cda5","Cis x Trans","Stage"
"CG15034","Cis x Trans","Stage"
"CG15876","Cis x Trans","Stage"
"NaCP60E","Cis x Trans","Stage"
"Cpr97Eb","Cis x Trans","Stage"
"CG31797","Cis x Trans","Stage"
"CG31784","Cis x Trans","Stage"
"CG15395","Cis x Trans","Stage"
"CG31960","Cis x Trans","Stage"
"CG32647","Cis x Trans","Stage"
"LManVI","Cis x Trans","Stage"
"CG14787","Cis x Trans","Stage"
"CG30275","Cis x Trans","Stage"
"CG33462","Cis x Trans","Stage"
"CG5621","Cis x Trans","Stage"
"CG30177","Cis x Trans","Stage"
"CG30369","Cis x Trans","Stage"
"en","Cis x Trans","Stage"
"CG14339","Cis x Trans","Stage"
"Spn31A","Cis x Trans","Stage"
"CG15399","Cis x Trans","Stage"
"glob3","Cis x Trans","Stage"
"CG13713","Cis x Trans","Stage"
"ttm2","Cis x Trans","Stage"
"CG6675","Cis x Trans","Stage"
"CG17944","Cis x Trans","Stage"
"CG9445","Cis x Trans","Stage"
"CG8918","Cis x Trans","Stage"
"Orco","Cis x Trans","Stage"
"Mur2B","Cis x Trans","Stage"
"CG2750","Cis x Trans","Stage"
"CG10550","Cis x Trans","Stage"
"RluA-1","Cis x Trans","Stage"
"CG13334","Cis x Trans","Stage"
"ndl","Cis x Trans","Stage"
"Unc-89","Cis x Trans","Stage"
"l(1)G0334","Cis x Trans","Stage"
"CG17196","Cis x Trans","Stage"
"CG14537","Cis x Trans","Stage"
"CG13300","Cis x Trans","Stage"
"CG33125","Cis x Trans","Stage"
"CG9550","Cis x Trans","Stage"
"xmas-1","Cis x Trans","Stage"
"CG12992","Cis x Trans","Stage"
"CG15625","Cis x Trans","Stage"
"CG6403","Cis x Trans","Stage"
"rdgB","Cis x Trans","Stage"
"CG14071","Cis x Trans","Stage"
"CG14565","Cis x Trans","Stage"
"Sclp","Cis x Trans","Stage"
"ec","Cis x Trans","Stage"
"Prosbeta2R1","Cis x Trans","Stage"
"CG43117","Cis x Trans","Stage"
"CG14013","Cis x Trans","Stage"
"CG43183","Cis x Trans","Stage"
"CG31644","Cis x Trans","Stage"
"Muc12Ea","Cis x Trans","Stage"
"Dic4","Cis x Trans","Stage"
"CG18131","Cis x Trans","Stage"
"CG11815","Cis x Trans","Stage"
"Pu","Cis x Trans","Stage"
"CG12477","Cis x Trans","Stage"
"CycJ","Cis x Trans","Stage"
"CG13984","Cis x Trans","Stage"
"CG9101","Cis x Trans","Stage"
"SERCA","Cis x Trans","Stage"
"vnd","Cis x Trans","Stage"
"CG15570","Cis x Trans","Stage"
"CG12209","Cis x Trans","Stage"
"CG9498","Cis x Trans","Stage"
"CG11333","Cis x Trans","Stage"
"CG4716","Cis x Trans","Stage"
"CG6602","Cis x Trans","Stage"
"CG8197","Cis x Trans","Stage"
"nht","Cis x Trans","Stage"
"CG30487","Cis x Trans","Stage"
"CG9850","Cis x Trans","Stage"
"hgo","Cis x Trans","Stage"
"SmydA-3","Cis x Trans","Stage"
"antdh","Cis x Trans","Stage"
"CG30048","Cis x Trans","Stage"
"CG5565","Cis x Trans","Stage"
"Sam-S","Cis x Trans","Stage"
"yellow-d2","Cis x Trans","Stage"
"CG30222","Cis x Trans","Stage"
"CG4480","Cis x Trans","Stage"
"fd96Ca","Cis x Trans","Stage"
"Acsl","Cis x Trans","Stage"
"CG12698","Cis x Trans","Stage"
"CG16772","Cis x Trans","Stage"
"spo","Cis x Trans","Stage"
"Npc2g","Cis x Trans","Stage"
"CG33278","Cis x Trans","Stage"
"CG42851","Cis x Trans","Stage"
"CG12376","Cis x Trans","Stage"
"CG15185","Cis x Trans","Stage"
"CG32720","Cis x Trans","Stage"
"CG9235","Cis x Trans","Stage"
"p-cup","Cis x Trans","Stage"
"CG30385","Cis x Trans","Stage"
"CG14605","Cis x Trans","Stage"
"CG10096","Cis x Trans","Stage"
"CG42809","Cis x Trans","Stage"
"CG15919","Cis x Trans","Stage"
"CG14187","Cis x Trans","Stage"
"CG7794","Cis x Trans","Stage"
"CG2104","Cis x Trans","Stage"
"CG14759","Cis x Trans","Stage"
"CG14937","Cis x Trans","Stage"
"CG6614","Cis x Trans","Stage"
"CG9072","Cis x Trans","Stage"
"CG14990","Cis x Trans","Stage"
"CG10934","Cis x Trans","Stage"
"cpx","Cis x Trans","Stage"
"tio","Cis x Trans","Stage"
"CG34181","Cis x Trans","Stage"
"boil","Cis x Trans","Stage"
"CG32388","Cis x Trans","Stage"
"Cpr78Ca","Cis x Trans","Stage"
"CG12637","Cis x Trans","Stage"
"CG34021","Cis x Trans","Stage"
"tyn","Cis x Trans","Stage"
"CG32650","Cis x Trans","Stage"
"CG31816","Cis x Trans","Stage"
"ab","Cis x Trans","Stage"
"Cpr65Ec","Cis x Trans","Stage"
"CG31717","Cis x Trans","Stage"
"CG6503","Cis x Trans","Stage"
"sna","Cis x Trans","Stage"
"ACC","Cis x Trans","Stage"
"robl22E","Cis x Trans","Stage"
"CG7716","Cis x Trans","Stage"
"CG15548","Cis x Trans","Stage"
"CG31851","Cis x Trans","Stage"
"CG4009","Cis x Trans","Stage"
"Elba2","Cis x Trans","Stage"
"CG15369","Cis x Trans","Stage"
"CG1428","Cis x Trans","Stage"
"Cyt-c1","Cis x Trans","Stage"
"CG14757","Cis x Trans","Stage"
"CG13185","Cis x Trans","Stage"
"CG43066","Cis x Trans","Stage"
"CG10332","Cis x Trans","Stage"
"CG2209","Cis x Trans","Stage"
"Scr","Cis x Trans","Stage"
"CG13869","Cis x Trans","Stage"
"Tsp66A","Cis x Trans","Stage"
"Atg8b","Cis x Trans","Stage"
"unc80","Cis x Trans","Stage"
"CG18869","Cis x Trans","Stage"
"SoxN","Cis x Trans","Stage"
"tim","Cis x Trans","Stage"
"srl","Cis x Trans","Stage"
"E(spl)m2-BFM","Cis x Trans","Stage"
"Glut3","Cis x Trans","Stage"
"CG9826","Cis x Trans","Stage"
"ord","Cis x Trans","Stage"
"CG31808","Cis x Trans","Stage"
"JYalpha","Cis x Trans","Stage"
"CG31274","Cis x Trans","Stage"
"CG16781","Cis x Trans","Stage"
"hll","Cis x Trans","Stage"
"CG11269","Cis x Trans","Stage"
"CG14516","Cis x Trans","Stage"
"PH4alphaMP","Cis x Trans","Stage"
"Ctr1C","Cis x Trans","Stage"
"CG17386","Cis x Trans","Stage"
"CG11298","Cis x Trans","Stage"
"RpS28-like","Cis x Trans","Stage"
"CG2694","Cis x Trans","Stage"
"CG13526","Cis x Trans","Stage"
"CG31287","Cis x Trans","Stage"
"CG5327","Cis x Trans","Stage"
"Dll","Cis x Trans","Stage"
"CG1273","Cis x Trans","Stage"
"CG32271","Cis x Trans","Stage"
"CG16853","Cis x Trans","Stage"
"CG15145","Cis x Trans","Stage"
"CG15719","Cis x Trans","Stage"
"CG5987","Cis x Trans","Stage"
"COX6AL","Cis x Trans","Stage"
"Cyp312a1","Cis x Trans","Stage"
"SmydA-2","Cis x Trans","Stage"
"sca","Cis x Trans","Stage"
"CG32461","Cis x Trans","Stage"
"CG34264","Cis x Trans","Stage"
"Lcp65Ad","Cis x Trans","Stage"
"CG18304","Cis x Trans","Stage"
"Cyp310a1","Cis x Trans","Stage"
"CG17140","Cis x Trans","Stage"
"slam","Cis x Trans","Stage"
"DNApol-eta","Cis x Trans","Stage"
"CG15530","Cis x Trans","Stage"
"CG10307","Cis x Trans","Stage"
"CG5071","Cis x Trans","Stage"
"CG31789","Cis x Trans","Stage"
"CG1441","Cis x Trans","Stage"
"CG2574","Cis x Trans","Stage"
"CG3679","Cis x Trans","Stage"
"Drsl6","Cis x Trans","Stage"
"CG3355","Cis x Trans","Stage"
"Drsl1","Cis x Trans","Stage"
"CG15571","Cis x Trans","Stage"
"Cpr100A","Cis x Trans","Stage"
"CG1607","Cis x Trans","Stage"
"Dh31-R","Cis x Trans","Stage"
"TfIIA-S-2","Cis x Trans","Stage"
"CG13539","Cis x Trans","Stage"
"mas","Cis x Trans","Stage"
"ft","Cis x Trans","Stage"
"CG31928","Cis x Trans","Stage"
"CG9485","Cis x Trans","Stage"
"CG13540","Cis x Trans","Stage"
"Imp","Cis x Trans","Stage"
"CG34457","Cis x Trans","Stage"
"CG7298","Cis x Trans","Stage"
"muc","Cis x Trans","Stage"
"CG15167","Cis x Trans","Stage"
"CG13113","Cis x Trans","Stage"
"CG9780","Cis x Trans","Stage"
"CG4377","Cis x Trans","Stage"
"Oaz","Cis x Trans","Stage"
"CG43138","Cis x Trans","Stage"
"CG30472","Cis x Trans","Stage"
"Arpc1","Cis x Trans","Stage"
"CG32195","Cis x Trans","Stage"
"CG13501","Cis x Trans","Stage"
"CG32625","Cis x Trans","Stage"
"CG4386","Cis x Trans","Stage"
"CG11381","Cis x Trans","Stage"
"CG6893","Cis x Trans","Stage"
"hale","Cis x Trans","Stage"
"ND-B8","Cis x Trans","Stage"
"CG1648","Cis x Trans","Stage"
"CG10298","Cis x Trans","Stage"
"CG11841","Cis x Trans","Stage"
"inv","Cis x Trans","Stage"
"Lcp65Ac","Cis x Trans","Stage"
"CG30099","Cis x Trans","Stage"
"CG18568","Cis x Trans","Stage"
"dac","Cis x Trans","Stage"
"olf186-M","Cis x Trans","Stage"
"CG18605","Cis x Trans","Stage"
"CG4363","Cis x Trans","Stage"
"CG42592","Cis x Trans","Stage"
"Rpt6R","Cis x Trans","Stage"
"CG16995","Cis x Trans","Stage"
"Toll-7","Cis x Trans","Stage"
"CG31093","Cis x Trans","Stage"
"CG3117","Cis x Trans","Stage"
"CG14070","Cis x Trans","Stage"
"CG15873","Cis x Trans","Stage"
"CG17929","Cis x Trans","Stage"
"mbm","Cis x Trans","Stage"
"corolla","Cis x Trans","Stage"
"Np","Cis x Trans","Stage"
"sut3","Cis x Trans","Stage"
"eIF4E-7","Cis x Trans","Stage"
"CG15721","Cis x Trans","Stage"
"Nop60B","Cis x Trans","Stage"
"CG5111","Cis x Trans","Stage"
"Ror","Cis x Trans","Stage"
"CG15533","Cis x Trans","Stage"
"CG1387","Cis x Trans","Stage"
"CG18132","Cis x Trans","Stage"
"St4","Cis x Trans","Stage"
"danr","Cis x Trans","Stage"
"CG15136","Cis x Trans","Stage"
"muskelin","Cis x Trans","Stage"
"CG32259","Cis x Trans","Stage"
"Fcp3C","Cis x Trans","Stage"
"Jhedup","Cis x Trans","Stage"
"CG12078","Cis x Trans","Stage"
"CG9988","Cis x Trans","Stage"
"CG30447","Cis x Trans","Stage"
"CR10032","Cis x Trans","Stage"
"CG32645","Cis x Trans","Stage"
"CG9664","Cis x Trans","Stage"
"CG7214","Cis x Trans","Stage"
"PpD5","Cis x Trans","Stage"
"CG34287","Cis x Trans","Stage"
"CG12880","Cis x Trans","Stage"
"CG34337","Cis x Trans","Stage"
"CG31661","Cis x Trans","Stage"
"CG15258","Cis x Trans","Stage"
"Scp2","Cis x Trans","Stage"
"CG12164","Cis x Trans","Stage"
"CG18666","Cis x Trans","Stage"
"CG15196","Cis x Trans","Stage"
"CG8840","Cis x Trans","Stage"
"CG12674","Cis x Trans","Stage"
"CG3528","Cis x Trans","Stage"
"NimA","Cis x Trans","Stage"
"CG33252","Cis x Trans","Stage"
"COX5BL","Cis x Trans","Stage"
"CG32945","Cis x Trans","Stage"
"alpha-Man-Ic","Cis x Trans","Stage"
"CG12438","Cis x Trans","Stage"
"krimp","Cis x Trans","Stage"
"thw","Cis x Trans","Stage"
"CG15337","Cis x Trans","Stage"
"VhaM9.7-d","Cis x Trans","Stage"
"CG10459","Cis x Trans","Stage"
"Cpr65Aw","Cis x Trans","Stage"
"CG12866","Cis x Trans","Stage"
"tam","Cis x Trans","Stage"
"hydra","Cis x Trans","Stage"
"Cpr47Eb","Cis x Trans","Stage"
"CG14921","Cis x Trans","Stage"
"CG13171","Cis x Trans","Stage"
"CG17572","Cis x Trans","Stage"
"CG13144","Cis x Trans","Stage"
"CG32986","Cis x Trans","Stage"
"CG5122","Cis x Trans","Stage"
"Cpr11B","Cis x Trans","Stage"
"robo2","Cis x Trans","Stage"
"cup","Cis x Trans","Stage"
"CG31542","Cis x Trans","Stage"
"lambdaTry","Cis x Trans","Stage"
"sob","Cis x Trans","Stage"
"CG14502","Cis x Trans","Stage"
"CG1690","Cis x Trans","Stage"
"CG13127","Cis x Trans","Stage"
"CG15142","Cis x Trans","Stage"
"GstE4","Cis x Trans","Stage"
"cher","Cis x Trans","Stage"
"CG15820","Cis x Trans","Stage"
"CG42784","Cis x Trans","Stage"
"CG10131","Cis x Trans","Stage"
"CG32240","Cis x Trans","Stage"
"Cda4","Cis x Trans","Stage"
"bowl","Cis x Trans","Stage"
"CG4970","Cis x Trans","Stage"
"stnB","Cis x Trans","Stage"
"CG34210","Cis x Trans","Stage"
"CG4017","Cis x Trans","Stage"
"Menl-1","Cis x Trans","Stage"
"CG14930","Cis x Trans","Stage"
"Neurochondrin","Cis x Trans","Stage"
"CG16825","Cis x Trans","Stage"
"CG15526","Cis x Trans","Stage"
"Mos","Cis x Trans","Stage"
"CG33140","Cis x Trans","Stage"
"Gs1l","Cis x Trans","Stage"
"CG31091","Cis x Trans","Stage"
"CG13423","Cis x Trans","Stage"
"Cpr31A","Cis x Trans","Stage"
"CG15766","Cis x Trans","Stage"
"CG14036","Cis x Trans","Stage"
"CG5756","Cis x Trans","Stage"
"twz","Cis x Trans","Stage"
"esg","Cis x Trans","Stage"
"CG43935","Cis x Trans","Stage"
"me31B","Cis x Trans","Stage"
"CG17145","Cis x Trans","Stage"
"CG30325","Cis x Trans","Stage"
"CG14635","Cis x Trans","Stage"
"CG30083","Cis x Trans","Stage"
"CG30196","Cis x Trans","Stage"
"Irk3","Cis x Trans","Stage"
"CG12684","Cis x Trans","Stage"
"CG11876","Cis x Trans","Stage"
"CG30065","Cis x Trans","Stage"
"Eglp3","Cis x Trans","Stage"
"bgm","Cis x Trans","Stage"
"Lerp","Cis x Trans","Stage"
"CG4630","Cis x Trans","Stage"
"blw","Cis x Trans","Stage"
"CG13741","Cis x Trans","Stage"
"CG12729","Cis x Trans","Stage"
"CG3588","Cis x Trans","Stage"
"CG15283","Cis x Trans","Stage"
"CG15905","Cis x Trans","Stage"
"klhl10","Cis x Trans","Stage"
"CG15412","Cis x Trans","Stage"
"sro","Cis x Trans","Stage"
"DopEcR","Cis x Trans","Stage"
"CG15093","Cis x Trans","Stage"
"CG32232","Cis x Trans","Stage"
"CG31115","Cis x Trans","Stage"
"obst-I","Cis x Trans","Stage"
"pwn","Cis x Trans","Stage"
"CG12498","Cis x Trans","Stage"
"ple","Cis x Trans","Stage"
"CG13077","Cis x Trans","Stage"
"CG10226","Cis x Trans","Stage"
"CG31213","Cis x Trans","Stage"
"Pkc53E","Cis x Trans","Stage"
"CG8584","Cis x Trans","Stage"
"CG12693","Cis x Trans","Stage"
"CG32987","Cis x Trans","Stage"
"CG4415","Cis x Trans","Stage"
"Gas8","Cis x Trans","Stage"
"CG32301","Cis x Trans","Stage"
"CG15580","Cis x Trans","Stage"
"Atpalpha","Cis x Trans","Stage"
"CG14257","Cis x Trans","Stage"
"CG13870","Cis x Trans","Stage"
"CG4496","Cis x Trans","Stage"
"CR46300","Cis x Trans","Stage"
"U3-55K","Cis x Trans","Stage"
"Pph13","Cis x Trans","Stage"
"CG43328","Cis x Trans","Stage"
"CG43691","Cis x Trans","Stage"
"alpha-Est6","Cis x Trans","Stage"
"CG31776","Cis x Trans","Stage"
"CG3292","Cis x Trans","Stage"
"CG14017","Cis x Trans","Stage"
"CG17744","Cis x Trans","Stage"
"Mmp2","Cis x Trans","Stage"
"Mdh2","Cis x Trans","Stage"
"CG14292","Cis x Trans","Stage"
"CG18540","Cis x Trans","Stage"
"CG4324","Cis x Trans","Stage"
"CG15529","Cis x Trans","Stage"
"CG32319","Cis x Trans","Stage"
"CG32806","Cis x Trans","Stage"
"CG3544","Cis x Trans","Stage"
"CG12502","Cis x Trans","Stage"
"CG34312","Cis x Trans","Stage"
"Cbp53E","Cis x Trans","Stage"
"CG14077","Cis x Trans","Stage"
"CG12661","Cis x Trans","Stage"
"CG7653","Cis x Trans","Stage"
"CG8299","Cis x Trans","Stage"
"CG17475","Cis x Trans","Stage"
"CG16741","Cis x Trans","Stage"
"CG30416","Cis x Trans","Stage"
"CG42658","Cis x Trans","Stage"
"ND-51","Cis x Trans","Stage"
"qin","Cis x Trans","Stage"
"CG33998","Cis x Trans","Stage"
"CG14354","Cis x Trans","Stage"
"CG43058","Cis x Trans","Stage"
"tej","Cis x Trans","Stage"
"CG42855","Cis x Trans","Stage"
"RpL22-like","Cis x Trans","Stage"
"CG13280","Cis x Trans","Stage"
"r-l","Cis x Trans","Stage"
"CG31924","Cis x Trans","Stage"
"CG1315","Cis x Trans","Stage"
"CG14932","Cis x Trans","Stage"
"kat-60L1","Cis x Trans","Stage"
"CG12995","Cis x Trans","Stage"
"Cpr65Ay","Cis x Trans","Stage"
"CG5554","Cis x Trans","Stage"
"HLH3B","Cis x Trans","Stage"
"CG32727","Cis x Trans","Stage"
"CG15278","Cis x Trans","Stage"
"CG32219","Cis x Trans","Stage"
"CG12009","Cis x Trans","Stage"
"CG30103","Cis x Trans","Stage"
"CG13492","Cis x Trans","Stage"
"CG10924","Cis x Trans","Stage"
"CG5662","Cis x Trans","Stage"
"mTTF","Cis x Trans","Stage"
"CG14651","Cis x Trans","Stage"
"hbs","Cis x Trans","Stage"
"spoon","Cis x Trans","Stage"
"Cpr","Cis x Trans","Stage"
"ken","Cis x Trans","Stage"
"CG13010","Cis x Trans","Stage"
"CG2680","Cis x Trans","Stage"
"CG8545","Cis x Trans","Stage"
"lectin-37Da","Cis x Trans","Stage"
"CG43293","Cis x Trans","Stage"
"CG32263","Cis x Trans","Stage"
"CG1636","Cis x Trans","Stage"
"otk2","Cis x Trans","Stage"
"CG33017","Cis x Trans","Stage"
"CG43112","Cis x Trans","Stage"
"qvr","Cis x Trans","Stage"
"CG30265","Cis x Trans","Stage"
"CG10211","Cis x Trans","Stage"
"CG31265","Cis x Trans","Stage"
"CG18538","Cis x Trans","Stage"
"ds","Cis x Trans","Stage"
"CG10801","Cis x Trans","Stage"
"Vha16-4","Cis x Trans","Stage"
"CG17636","Cis x Trans","Stage"
"CG15572","Cis x Trans","Stage"
"PH4alphaSG1","Cis x Trans","Stage"
"CR43100","Cis x Trans","Stage"
"CG14838","Cis x Trans","Stage"
"AANATL2","Cis x Trans","Stage"
"Fie","Cis x Trans","Stage"
"CG14315","Cis x Trans","Stage"
"CG15829","Cis x Trans","Stage"
"CG10931","Cis x Trans","Stage"
"CG34040","Cis x Trans","Stage"
"Uch-L5R","Cis x Trans","Stage"
"CG32679","Cis x Trans","Stage"
"CG11369","Cis x Trans","Stage"
"CG42675","Cis x Trans","Stage"
"ms(3)76Ba","Cis x Trans","Stage"
"CG17646","Cis x Trans","Stage"
"CG3589","Cis x Trans","Stage"
"Lcp65Aa","Cis x Trans","Stage"
"esn","Cis x Trans","Stage"
"CG10933","Cis x Trans","Stage"
"Inx3","Cis x Trans","Stage"
"tobi","Cis x Trans","Stage"
"comr","Cis x Trans","Stage"
"ATPsyngamma","Cis x Trans","Stage"
"Eh","Cis x Trans","Stage"
"igl","Cis x Trans","Stage"
"CG31028","Cis x Trans","Stage"
"CG10761","Cis x Trans","Stage"
"ckd","Cis x Trans","Stage"
"CG32591","Cis x Trans","Stage"
"CG18190","Cis x Trans","Stage"
"CG12926","Cis x Trans","Stage"
"Faa","Cis x Trans","Stage"
"CG11379","Cis x Trans","Stage"
"NimC4","Cis x Trans","Stage"
"Amph","Cis x Trans","Stage"
"Cpr76Bd","Cis x Trans","Stage"
"CG10702","Cis x Trans","Stage"
"rdgA","Cis x Trans","Stage"
"CG34054","Cis x Trans","Stage"
"CG8813","Cis x Trans","Stage"
"CG5171","Cis x Trans","Stage"
"Teh2","Cis x Trans","Stage"
"sced","Cis x Trans","Stage"
"CG2187","Cis x Trans","Stage"
"CG6067","Cis x Trans","Stage"
"CG1889","Cis x Trans","Stage"
"CG14253","Cis x Trans","Stage"
"CDC45L","Cis x Trans","Stage"
"CG4661","Cis x Trans","Stage"
"Fer3HCH","Cis x Trans","Stage"
"CG30087","Cis x Trans","Stage"
"CG15143","Cis x Trans","Stage"
"Ppa","Cis x Trans","Stage"
"CG30088","Cis x Trans","Stage"
"CG30349","Cis x Trans","Stage"
"CG1077","Cis x Trans","Stage"
"Tektin-C","Cis x Trans","Stage"
"CG30002","Cis x Trans","Stage"
"CG14814","Cis x Trans","Stage"
"slow","Cis x Trans","Stage"
"Spn55B","Cis x Trans","Stage"
"CG13021","Cis x Trans","Stage"
"Mmp1","Cis x Trans","Stage"
"CG5599","Cis x Trans","Stage"
"CG17717","Cis x Trans","Stage"
"CG31106","Cis x Trans","Stage"
"Cyp6a13","Cis x Trans","Stage"
"CG32432","Cis x Trans","Stage"
"stnA","Cis x Trans","Stage"
"rdgBbeta","Cis x Trans","Stage"
"CG4752","Cis x Trans","Stage"
"fon","Cis x Trans","Stage"
"tos","Cis x Trans","Stage"
"CG9899","Cis x Trans","Stage"
"Coop","Cis x Trans","Stage"
"CG15375","Cis x Trans","Stage"
"nkd","Cis x Trans","Stage"
"CG17005","Cis x Trans","Stage"
"HHEX","Cis x Trans","Stage"
"CG11459","Cis x Trans","Stage"
"wuc","Cis x Trans","Stage"
"CG12836","Cis x Trans","Stage"
"CG17601","Cis x Trans","Stage"
"CG32572","Cis x Trans","Stage"
"CG42685","Cis x Trans","Stage"
"mtRNApol","Cis x Trans","Stage"
"fw","Cis x Trans","Stage"
"CG2652","Cis x Trans","Stage"
"mRpS7","Cis x Trans","Stage"
"CG32686","Cis x Trans","Stage"
"CG31191","Cis x Trans","Stage"
"Gabat","Cis x Trans","Stage"
"CG8768","Cis x Trans","Stage"
"Adck","Cis x Trans","Stage"
"CG15067","Cis x Trans","Stage"
"CG17801","Cis x Trans","Stage"
"eag","Cis x Trans","Stage"
"Sema2b","Cis x Trans","Stage"
"conv","Cis x Trans","Stage"
"CG1092","Cis x Trans","Stage"
"CG12439","Cis x Trans","Stage"
"CG30377","Cis x Trans","Stage"
"CG6012","Cis x Trans","Stage"
"PPYR1","Cis x Trans","Stage"
"CG10486","Cis x Trans","Stage"
"tup","Cis x Trans","Stage"
"CG31689","Cis x Trans","Stage"
"CG31288","Cis x Trans","Stage"
"uif","Cis x Trans","Stage"
"CHKov2","Cis x Trans","Stage"
"CG14835","Cis x Trans","Stage"
"Mppe","Cis x Trans","Stage"
"stan","Cis x Trans","Stage"
"brv1","Cis x Trans","Stage"
"CG12288","Cis x Trans","Stage"
"CG31635","Cis x Trans","Stage"
"CG10280","Cis x Trans","Stage"
"SK","Cis x Trans","Stage"
"CG14062","Cis x Trans","Stage"
"CG30334","Cis x Trans","Stage"
"CG30110","Cis x Trans","Stage"
"cas","Cis x Trans","Stage"
"l(2)efl","Cis x Trans","Stage"
"CG44405","Cis x Trans","Stage"
"SmydA-4","Cis x Trans","Stage"
"CG44044","Cis x Trans","Stage"
"cysu","Cis x Trans","Stage"
"CG9192","Cis x Trans","Stage"
"CG13884","Cis x Trans","Stage"
"CG15429","Cis x Trans","Stage"
"CG13871","Cis x Trans","Stage"
"CG5646","Cis x Trans","Stage"
"Art2","Cis x Trans","Stage"
"CG11889","Cis x Trans","Stage"
"CG13722","Cis x Trans","Stage"
"ATPsynC","Cis x Trans","Stage"
"cona","Cis x Trans","Stage"
"CG16836","Cis x Trans","Stage"
"CG13155","Cis x Trans","Stage"
"CG14931","Cis x Trans","Stage"
"inaF-C","Cis x Trans","Stage"
"CG15676","Cis x Trans","Stage"
"Apoltp","Cis x Trans","Stage"
"TwdlX","Cis x Trans","Stage"
"CG18155","Cis x Trans","Stage"
"CG13403","Cis x Trans","Stage"
"Cpr65Av","Cis x Trans","Stage"
"CG9782","Cis x Trans","Stage"
"CG31606","Cis x Trans","Stage"
"COX4","Cis x Trans","Stage"
"Ccp84Af","Cis x Trans","Stage"
"Gs1","Cis x Trans","Stage"
"cort","Cis x Trans","Stage"
"CG9522","Cis x Trans","Stage"
"Cyp28a5","Cis x Trans","Stage"
"CG32228","Cis x Trans","Stage"
